id;categoria;oferta;titulo;descripcion;precio;precio_ofer;imagen;creada
110;Varios;1;Croquetón de cocido;Croquetas de cocido caseras;14,00 €;10,00 €;;
111;Varios;1;Kebab pollo;Lechuga, tomate, carne de pollo kebab, salsa kebab;0,00 €;6,50 €;;
117;cafeteria;0;Café descafeinado;Café descafeinado;1,50 €;0,00 €;;
118;cafeteria;0;Café bombón;Café con leche condensada;1,50 €;0,00 €;;
120;cafeteria;0;Capuchino;Café capuchino;1,50 €;0,00 €;;
121;cafeteria;0;Desayuno zumo;Zumo de naranja con tostada de tomate y aceite;2,20 €;0,00 €;;
122;cafeteria;0;Desayuno zumo;Zumo de naranja con tostada de jamón;3,20 €;0,00 €;;
123;cafeteria;0;Desayuno zumo;Zumo de naranja con sandwich o croissant mixto;4,70 €;0,00 €;;
124;Tostas;0;Coyote;Pan de tosta, cebolla caramelizada, pechuga pollo plancha, queso, beicon, huevo frito;7,00 €;0,00 €;;
126;Varios;1;Croquetón de jamón iberico;Croquetas de jamón ibérico caseras;14,00 €;10,00 €;;
127;Tostas;0;Secreto con cebolla caramelizada;Pan de tosta, cebolla caramelizada, secreto de cerdo plancha;7,00 €;0,00 €;;
128;Varios;1;Kebab plus pollo;Lechuga, tomate, plus de carne de pollo kebab, salsa kebab;0,00 €;7,50 €;;
129;Pizza;0;Kebab;Masa casera fina, salsa de tomate, mozzarella, carne de kebab, salsa de yogurt;9,00 €;0,00 €;;
130;Pizza;0;Hawaiana;Masa casera fina, salsa de tomate, mozzarella, jamón cocido, trozos de piña;9,00 €;0,00 €;;
134;Pizza;0;Carbonara;Masa casera fina, salsa de tomate, mozzarella, nata, cebolla, champiñones, bacón;9,00 €;0,00 €;;
135;Pizza;0;Vegetal;Masa casera fina, salsa de tomate, mozzarella, pimiento rojo, pimiento verde, aros de cebolla, champiñones;9,00 €;0,00 €;;
137;Pesca;1;Sepia Media;Media sepia a la plancha con ensalada;10,00 €;11,00 €;;
138;Pizza;0;Barbacoa;Masa casera fina, salsa de tomate, mozzarella, carne picada, lonchas de bacón, salsa barbacoa;9,00 €;0,00 €;;
139;Pesca;1;Chipirones fritos/plancha;Chipirones fritos o a la plancha a elegir;14,00 €;11,00 €;;
140;Pizza;0;Individual;A elegir;5,00 €;0,00 €;;
141;cafeteria;0;Merienda café o infusión;Café o infusión con tostada de tomate y aceite;1,50 €;0,00 €;;
142;cafeteria;0;Merienda café o infusión;Café o infusión con tostada de jamón;2,50 €;0,00 €;;
143;cafeteria;0;Merienda café o infusión;Café o infusión con sandwich o croissant mixto;4,50 €;0,00 €;;
144;cafeteria;0;Merienda zumo;Zumo de naranja con tostada de tomate y aceite;2,20 €;0,00 €;;
145;cafeteria;0;Merienda zumo;Zumo de naranja con tostada de jamón;3,20 €;0,00 €;;
146;cafeteria;0;Merienda zumo;Zumo de naranja con sandwich o croissant mixto;4,70 €;0,00 €;;
147;Pizza;0;Margarita;Masa casera fina, salsa de tomate, mozzarela;9,00 €;0,00 €;;
148;Pizza;0;Salami;Masa casera fina, salsa de tomate, mozzarella, salami ;9,00 €;0,00 €;;
149;Pizza;0;Verdura;Masa casera fina, salsa de tomate, mozzarella, verduras: calabacin, berenjena, pimiento;9,00 €;0,00 €;;
150;Pizza;0;Calabrese piccante;Masa casera fina, salsa de tomate, mozzarella, salami picante, pimiento rojo verd;9,00 €;0,00 €;;
151;Pizza;0;Quattro quesos;Masa casera fina, salsa de tomate, mozzarella, elemental, provolone y queso azul;9,00 €;0,00 €;;
152;Pizza;0;Atun ;Masa casera fina, salsa de tomate, mozzarella, atún y cebolla;9,00 €;0,00 €;;
153;Pizza;0;Prosciutto;Masa casera fina, salsa de tomate, mozzarella, jamon cocido;9,00 €;0,00 €;;
154;Pizza;0;Barbacoa de pollo;Masa casera fina, salsa de tomate, mozzarella, pechuga de pollo, salsa barbacoa;9,00 €;0,00 €;;
155;cafeteria;0;Café doble carga;Café con doble carga;2,00 €;0,00 €;;
156;cafeteria;0;Café bombón;Café con leche condensada;1,50 €;0,00 €;;
157;cafeteria;0;Café capuchino;Café capuchino;1,50 €;0,00 €;;
158;cafeteria;0;Croissant;Croissant solo;1,30 €;0,00 €;;
159;cafeteria;0;Cola cao - Nesquit;Cola cao o Nesquit;2,00 €;0,00 €;;
160;cafeteria;0;Chocolate;Chocolate a la taza;2,00 €;0,00 €;;
161;cafeteria;0;Sandwich mixto desayuno;Desayuno con sandwich mixto;3,00 €;0,00 €;;
162;cafeteria;0;Pincho de tortilla;Pincho de tortilla española;1,20 €;0,00 €;;
163;cafeteria;0;Carajillo;Carajillo;2,50 €;0,00 €;;
164;Varios;1;Canelones de carne;Canelones de carne;0,00 €;7,00 €;;
